"id","District","FIPS","Year","Grade","Measure Type","Variable","Value"
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","Pre Kindergarten","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","Kindergarten","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","1","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","2","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","3","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","4","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","5","Number","Student Enrollment",85
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","6","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","7","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","8","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","9","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","10","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","11","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","12","Number","Student Enrollment",0
174,"Achievement First Bridgeport Academy District",NA,"2007-2008","Total","Number","Student Enrollment",85
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","Pre Kindergarten","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","Kindergarten","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","1","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","2","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","3","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","4","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","5","Number","Student Enrollment",88
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","6","Number","Student Enrollment",72
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","7","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","8","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","9","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","10","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","11","Number","Student Enrollment",0
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","12","Number","Student Enrollment",0
