"id","District","FIPS","Year","Grade","Measure Type","Variable","Value"
372,"Achievement First Bridgeport Academy District",NA,"2008-2009","Total","Number","Student Enrollment",160
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","Pre Kindergarten","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","Kindergarten","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","1","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","2","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","3","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","4","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","5","Number","Student Enrollment",86
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","6","Number","Student Enrollment",83
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","7","Number","Student Enrollment",69
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","8","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","9","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","10","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","11","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","12","Number","Student Enrollment",0
570,"Achievement First Bridgeport Academy District",NA,"2009-2010","Total","Number","Student Enrollment",238
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","Pre Kindergarten","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","Kindergarten","Number","Student Enrollment",90
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","1","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","2","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","3","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","4","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","5","Number","Student Enrollment",90
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","6","Number","Student Enrollment",83
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","7","Number","Student Enrollment",77
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","8","Number","Student Enrollment",69
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","9","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","10","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","11","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","12","Number","Student Enrollment",0
756,"Achievement First Bridgeport Academy District",NA,"2010-2011","Total","Number","Student Enrollment",409
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","Pre Kindergarten","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","Kindergarten","Number","Student Enrollment",91
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","1","Number","Student Enrollment",90
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","2","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","3","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","4","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","5","Number","Student Enrollment",94
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","6","Number","Student Enrollment",92
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","7","Number","Student Enrollment",71
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","8","Number","Student Enrollment",66
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","9","Number","Student Enrollment",39
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","10","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","11","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","12","Number","Student Enrollment",0
955,"Achievement First Bridgeport Academy District",NA,"2011-2012","Total","Number","Student Enrollment",543
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","Pre Kindergarten","Number","Student Enrollment",0
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","Kindergarten","Number","Student Enrollment",91
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","1","Number","Student Enrollment",94
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","2","Number","Student Enrollment",92
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","3","Number","Student Enrollment",0
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","4","Number","Student Enrollment",0
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","5","Number","Student Enrollment",99
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","6","Number","Student Enrollment",95
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","7","Number","Student Enrollment",81
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","8","Number","Student Enrollment",61
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","9","Number","Student Enrollment",53
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","10","Number","Student Enrollment",36
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","11","Number","Student Enrollment",0
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","12","Number","Student Enrollment",0
1151,"Achievement First Bridgeport Academy District",NA,"2012-2013","Total","Number","Student Enrollment",702
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","Pre Kindergarten","Number","Student Enrollment",0
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","Kindergarten","Number","Student Enrollment",90
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","1","Number","Student Enrollment",94
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","2","Number","Student Enrollment",98
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","3","Number","Student Enrollment",93
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","4","Number","Student Enrollment",0
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","5","Number","Student Enrollment",100
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","6","Number","Student Enrollment",90
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","7","Number","Student Enrollment",88
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","8","Number","Student Enrollment",68
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","9","Number","Student Enrollment",43
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","10","Number","Student Enrollment",38
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","11","Number","Student Enrollment",33
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","12","Number","Student Enrollment",0
1350,"Achievement First Bridgeport Academy District",NA,"2013-2014","Total","Number","Student Enrollment",835
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","Pre Kindergarten","Number","Student Enrollment",0
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","Kindergarten","Number","Student Enrollment",90
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","1","Number","Student Enrollment",90
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","2","Number","Student Enrollment",91
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","3","Number","Student Enrollment",99
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","4","Number","Student Enrollment",90
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","5","Number","Student Enrollment",102
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","6","Number","Student Enrollment",96
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","7","Number","Student Enrollment",93
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","8","Number","Student Enrollment",76
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","9","Number","Student Enrollment",50
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","10","Number","Student Enrollment",41
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","11","Number","Student Enrollment",29
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","12","Number","Student Enrollment",30
1550,"Achievement First Bridgeport Academy District",NA,"2014-2015","Total","Number","Student Enrollment",977
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","Pre Kindergarten","Number","Student Enrollment",0
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","Kindergarten","Number","Student Enrollment",95
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","1","Number","Student Enrollment",92
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","2","Number","Student Enrollment",93
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","3","Number","Student Enrollment",89
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","4","Number","Student Enrollment",95
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","5","Number","Student Enrollment",96
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","6","Number","Student Enrollment",97
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","7","Number","Student Enrollment",96
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","8","Number","Student Enrollment",92
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","9","Number","Student Enrollment",63
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","10","Number","Student Enrollment",45
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","11","Number","Student Enrollment",37
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","12","Number","Student Enrollment",26
1754,"Achievement First Bridgeport Academy District",NA,"2015-2016","Total","Number","Student Enrollment",1016
359,"Achievement First Hartford Academy District",NA,"2008-2009","Pre Kindergarten","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","Kindergarten","Number","Student Enrollment",88
359,"Achievement First Hartford Academy District",NA,"2008-2009","1","Number","Student Enrollment",86
359,"Achievement First Hartford Academy District",NA,"2008-2009","2","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","3","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","4","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","5","Number","Student Enrollment",87
359,"Achievement First Hartford Academy District",NA,"2008-2009","6","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","7","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","8","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","9","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","10","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","11","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","12","Number","Student Enrollment",0
359,"Achievement First Hartford Academy District",NA,"2008-2009","Total","Number","Student Enrollment",261
558,"Achievement First Hartford Academy District",NA,"2009-2010","Pre Kindergarten","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","Kindergarten","Number","Student Enrollment",87
558,"Achievement First Hartford Academy District",NA,"2009-2010","1","Number","Student Enrollment",92
558,"Achievement First Hartford Academy District",NA,"2009-2010","2","Number","Student Enrollment",89
558,"Achievement First Hartford Academy District",NA,"2009-2010","3","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","4","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","5","Number","Student Enrollment",87
558,"Achievement First Hartford Academy District",NA,"2009-2010","6","Number","Student Enrollment",85
558,"Achievement First Hartford Academy District",NA,"2009-2010","7","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","8","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","9","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","10","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","11","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","12","Number","Student Enrollment",0
558,"Achievement First Hartford Academy District",NA,"2009-2010","Total","Number","Student Enrollment",440
754,"Achievement First Hartford Academy District",NA,"2010-2011","Pre Kindergarten","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","Kindergarten","Number","Student Enrollment",88
754,"Achievement First Hartford Academy District",NA,"2010-2011","1","Number","Student Enrollment",91
754,"Achievement First Hartford Academy District",NA,"2010-2011","2","Number","Student Enrollment",94
754,"Achievement First Hartford Academy District",NA,"2010-2011","3","Number","Student Enrollment",79
754,"Achievement First Hartford Academy District",NA,"2010-2011","4","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","5","Number","Student Enrollment",91
754,"Achievement First Hartford Academy District",NA,"2010-2011","6","Number","Student Enrollment",89
754,"Achievement First Hartford Academy District",NA,"2010-2011","7","Number","Student Enrollment",78
754,"Achievement First Hartford Academy District",NA,"2010-2011","8","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","9","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","10","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","11","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","12","Number","Student Enrollment",0
754,"Achievement First Hartford Academy District",NA,"2010-2011","Total","Number","Student Enrollment",610
953,"Achievement First Hartford Academy District",NA,"2011-2012","Pre Kindergarten","Number","Student Enrollment",0
953,"Achievement First Hartford Academy District",NA,"2011-2012","Kindergarten","Number","Student Enrollment",90
953,"Achievement First Hartford Academy District",NA,"2011-2012","1","Number","Student Enrollment",89
953,"Achievement First Hartford Academy District",NA,"2011-2012","2","Number","Student Enrollment",86
953,"Achievement First Hartford Academy District",NA,"2011-2012","3","Number","Student Enrollment",88
953,"Achievement First Hartford Academy District",NA,"2011-2012","4","Number","Student Enrollment",75
953,"Achievement First Hartford Academy District",NA,"2011-2012","5","Number","Student Enrollment",98
953,"Achievement First Hartford Academy District",NA,"2011-2012","6","Number","Student Enrollment",92
953,"Achievement First Hartford Academy District",NA,"2011-2012","7","Number","Student Enrollment",75
953,"Achievement First Hartford Academy District",NA,"2011-2012","8","Number","Student Enrollment",69
953,"Achievement First Hartford Academy District",NA,"2011-2012","9","Number","Student Enrollment",0
953,"Achievement First Hartford Academy District",NA,"2011-2012","10","Number","Student Enrollment",0
953,"Achievement First Hartford Academy District",NA,"2011-2012","11","Number","Student Enrollment",0
953,"Achievement First Hartford Academy District",NA,"2011-2012","12","Number","Student Enrollment",0
953,"Achievement First Hartford Academy District",NA,"2011-2012","Total","Number","Student Enrollment",762
1149,"Achievement First Hartford Academy District",NA,"2012-2013","Pre Kindergarten","Number","Student Enrollment",0
1149,"Achievement First Hartford Academy District",NA,"2012-2013","Kindergarten","Number","Student Enrollment",90
1149,"Achievement First Hartford Academy District",NA,"2012-2013","1","Number","Student Enrollment",90
1149,"Achievement First Hartford Academy District",NA,"2012-2013","2","Number","Student Enrollment",91
1149,"Achievement First Hartford Academy District",NA,"2012-2013","3","Number","Student Enrollment",90
1149,"Achievement First Hartford Academy District",NA,"2012-2013","4","Number","Student Enrollment",73
1149,"Achievement First Hartford Academy District",NA,"2012-2013","5","Number","Student Enrollment",108
1149,"Achievement First Hartford Academy District",NA,"2012-2013","6","Number","Student Enrollment",90
1149,"Achievement First Hartford Academy District",NA,"2012-2013","7","Number","Student Enrollment",83
1149,"Achievement First Hartford Academy District",NA,"2012-2013","8","Number","Student Enrollment",62
1149,"Achievement First Hartford Academy District",NA,"2012-2013","9","Number","Student Enrollment",47
1149,"Achievement First Hartford Academy District",NA,"2012-2013","10","Number","Student Enrollment",0
1149,"Achievement First Hartford Academy District",NA,"2012-2013","11","Number","Student Enrollment",0
1149,"Achievement First Hartford Academy District",NA,"2012-2013","12","Number","Student Enrollment",0
1149,"Achievement First Hartford Academy District",NA,"2012-2013","Total","Number","Student Enrollment",824
1348,"Achievement First Hartford Academy District",NA,"2013-2014","Pre Kindergarten","Number","Student Enrollment",0
1348,"Achievement First Hartford Academy District",NA,"2013-2014","Kindergarten","Number","Student Enrollment",90
1348,"Achievement First Hartford Academy District",NA,"2013-2014","1","Number","Student Enrollment",89
1348,"Achievement First Hartford Academy District",NA,"2013-2014","2","Number","Student Enrollment",90
1348,"Achievement First Hartford Academy District",NA,"2013-2014","3","Number","Student Enrollment",85
1348,"Achievement First Hartford Academy District",NA,"2013-2014","4","Number","Student Enrollment",82
1348,"Achievement First Hartford Academy District",NA,"2013-2014","5","Number","Student Enrollment",104
1348,"Achievement First Hartford Academy District",NA,"2013-2014","6","Number","Student Enrollment",90
1348,"Achievement First Hartford Academy District",NA,"2013-2014","7","Number","Student Enrollment",80
1348,"Achievement First Hartford Academy District",NA,"2013-2014","8","Number","Student Enrollment",70
1348,"Achievement First Hartford Academy District",NA,"2013-2014","9","Number","Student Enrollment",48
1348,"Achievement First Hartford Academy District",NA,"2013-2014","10","Number","Student Enrollment",42
1348,"Achievement First Hartford Academy District",NA,"2013-2014","11","Number","Student Enrollment",0
1348,"Achievement First Hartford Academy District",NA,"2013-2014","12","Number","Student Enrollment",0
1348,"Achievement First Hartford Academy District",NA,"2013-2014","Total","Number","Student Enrollment",870
1547,"Achievement First Hartford Academy District",NA,"2014-2015","Pre Kindergarten","Number","Student Enrollment",0
1547,"Achievement First Hartford Academy District",NA,"2014-2015","Kindergarten","Number","Student Enrollment",91
1547,"Achievement First Hartford Academy District",NA,"2014-2015","1","Number","Student Enrollment",90
1547,"Achievement First Hartford Academy District",NA,"2014-2015","2","Number","Student Enrollment",91
1547,"Achievement First Hartford Academy District",NA,"2014-2015","3","Number","Student Enrollment",82
1547,"Achievement First Hartford Academy District",NA,"2014-2015","4","Number","Student Enrollment",87
1547,"Achievement First Hartford Academy District",NA,"2014-2015","5","Number","Student Enrollment",162
1547,"Achievement First Hartford Academy District",NA,"2014-2015","6","Number","Student Enrollment",87
1547,"Achievement First Hartford Academy District",NA,"2014-2015","7","Number","Student Enrollment",82
1547,"Achievement First Hartford Academy District",NA,"2014-2015","8","Number","Student Enrollment",62
1547,"Achievement First Hartford Academy District",NA,"2014-2015","9","Number","Student Enrollment",47
1547,"Achievement First Hartford Academy District",NA,"2014-2015","10","Number","Student Enrollment",39
1547,"Achievement First Hartford Academy District",NA,"2014-2015","11","Number","Student Enrollment",34
1547,"Achievement First Hartford Academy District",NA,"2014-2015","12","Number","Student Enrollment",0
1547,"Achievement First Hartford Academy District",NA,"2014-2015","Total","Number","Student Enrollment",954
1751,"Achievement First Hartford Academy District",NA,"2015-2016","Pre Kindergarten","Number","Student Enrollment",0
1751,"Achievement First Hartford Academy District",NA,"2015-2016","Kindergarten","Number","Student Enrollment",90
1751,"Achievement First Hartford Academy District",NA,"2015-2016","1","Number","Student Enrollment",91
1751,"Achievement First Hartford Academy District",NA,"2015-2016","2","Number","Student Enrollment",91
1751,"Achievement First Hartford Academy District",NA,"2015-2016","3","Number","Student Enrollment",93
1751,"Achievement First Hartford Academy District",NA,"2015-2016","4","Number","Student Enrollment",97
1751,"Achievement First Hartford Academy District",NA,"2015-2016","5","Number","Student Enrollment",165
1751,"Achievement First Hartford Academy District",NA,"2015-2016","6","Number","Student Enrollment",154
1751,"Achievement First Hartford Academy District",NA,"2015-2016","7","Number","Student Enrollment",62
1751,"Achievement First Hartford Academy District",NA,"2015-2016","8","Number","Student Enrollment",69
1751,"Achievement First Hartford Academy District",NA,"2015-2016","9","Number","Student Enrollment",44
1751,"Achievement First Hartford Academy District",NA,"2015-2016","10","Number","Student Enrollment",43
1751,"Achievement First Hartford Academy District",NA,"2015-2016","11","Number","Student Enrollment",33
1751,"Achievement First Hartford Academy District",NA,"2015-2016","12","Number","Student Enrollment",31
1751,"Achievement First Hartford Academy District",NA,"2015-2016","Total","Number","Student Enrollment",1063
161,"Amistad Academy District",NA,"2007-2008","Pre Kindergarten","Number","Student Enrollment",0
161,"Amistad Academy District",NA,"2007-2008","Kindergarten","Number","Student Enrollment",85
161,"Amistad Academy District",NA,"2007-2008","1","Number","Student Enrollment",86
161,"Amistad Academy District",NA,"2007-2008","2","Number","Student Enrollment",0
161,"Amistad Academy District",NA,"2007-2008","3","Number","Student Enrollment",0
161,"Amistad Academy District",NA,"2007-2008","4","Number","Student Enrollment",0
161,"Amistad Academy District",NA,"2007-2008","5","Number","Student Enrollment",76
161,"Amistad Academy District",NA,"2007-2008","6","Number","Student Enrollment",74
161,"Amistad Academy District",NA,"2007-2008","7","Number","Student Enrollment",69
161,"Amistad Academy District",NA,"2007-2008","8","Number","Student Enrollment",66
161,"Amistad Academy District",NA,"2007-2008","9","Number","Student Enrollment",47
161,"Amistad Academy District",NA,"2007-2008","10","Number","Student Enrollment",44
161,"Amistad Academy District",NA,"2007-2008","11","Number","Student Enrollment",0
161,"Amistad Academy District",NA,"2007-2008","12","Number","Student Enrollment",0
161,"Amistad Academy District",NA,"2007-2008","Total","Number","Student Enrollment",547
360,"Amistad Academy District",NA,"2008-2009","Pre Kindergarten","Number","Student Enrollment",0
360,"Amistad Academy District",NA,"2008-2009","Kindergarten","Number","Student Enrollment",86
360,"Amistad Academy District",NA,"2008-2009","1","Number","Student Enrollment",85
360,"Amistad Academy District",NA,"2008-2009","2","Number","Student Enrollment",85
360,"Amistad Academy District",NA,"2008-2009","3","Number","Student Enrollment",0
360,"Amistad Academy District",NA,"2008-2009","4","Number","Student Enrollment",0
360,"Amistad Academy District",NA,"2008-2009","5","Number","Student Enrollment",78
360,"Amistad Academy District",NA,"2008-2009","6","Number","Student Enrollment",75
360,"Amistad Academy District",NA,"2008-2009","7","Number","Student Enrollment",70
360,"Amistad Academy District",NA,"2008-2009","8","Number","Student Enrollment",64
360,"Amistad Academy District",NA,"2008-2009","9","Number","Student Enrollment",37
360,"Amistad Academy District",NA,"2008-2009","10","Number","Student Enrollment",37
360,"Amistad Academy District",NA,"2008-2009","11","Number","Student Enrollment",24
360,"Amistad Academy District",NA,"2008-2009","12","Number","Student Enrollment",0
360,"Amistad Academy District",NA,"2008-2009","Total","Number","Student Enrollment",641
559,"Amistad Academy District",NA,"2009-2010","Pre Kindergarten","Number","Student Enrollment",0
559,"Amistad Academy District",NA,"2009-2010","Kindergarten","Number","Student Enrollment",85
559,"Amistad Academy District",NA,"2009-2010","1","Number","Student Enrollment",85
559,"Amistad Academy District",NA,"2009-2010","2","Number","Student Enrollment",85
559,"Amistad Academy District",NA,"2009-2010","3","Number","Student Enrollment",86
559,"Amistad Academy District",NA,"2009-2010","4","Number","Student Enrollment",0
559,"Amistad Academy District",NA,"2009-2010","5","Number","Student Enrollment",83
559,"Amistad Academy District",NA,"2009-2010","6","Number","Student Enrollment",75
559,"Amistad Academy District",NA,"2009-2010","7","Number","Student Enrollment",63
559,"Amistad Academy District",NA,"2009-2010","8","Number","Student Enrollment",60
559,"Amistad Academy District",NA,"2009-2010","9","Number","Student Enrollment",37
559,"Amistad Academy District",NA,"2009-2010","10","Number","Student Enrollment",34
559,"Amistad Academy District",NA,"2009-2010","11","Number","Student Enrollment",29
559,"Amistad Academy District",NA,"2009-2010","12","Number","Student Enrollment",22
559,"Amistad Academy District",NA,"2009-2010","Total","Number","Student Enrollment",744
755,"Amistad Academy District",NA,"2010-2011","Pre Kindergarten","Number","Student Enrollment",0
755,"Amistad Academy District",NA,"2010-2011","Kindergarten","Number","Student Enrollment",90
755,"Amistad Academy District",NA,"2010-2011","1","Number","Student Enrollment",81
755,"Amistad Academy District",NA,"2010-2011","2","Number","Student Enrollment",82
755,"Amistad Academy District",NA,"2010-2011","3","Number","Student Enrollment",79
755,"Amistad Academy District",NA,"2010-2011","4","Number","Student Enrollment",75
755,"Amistad Academy District",NA,"2010-2011","5","Number","Student Enrollment",83
755,"Amistad Academy District",NA,"2010-2011","6","Number","Student Enrollment",84
755,"Amistad Academy District",NA,"2010-2011","7","Number","Student Enrollment",67
755,"Amistad Academy District",NA,"2010-2011","8","Number","Student Enrollment",57
755,"Amistad Academy District",NA,"2010-2011","9","Number","Student Enrollment",39
755,"Amistad Academy District",NA,"2010-2011","10","Number","Student Enrollment",31
755,"Amistad Academy District",NA,"2010-2011","11","Number","Student Enrollment",21
755,"Amistad Academy District",NA,"2010-2011","12","Number","Student Enrollment",23
755,"Amistad Academy District",NA,"2010-2011","Total","Number","Student Enrollment",812
954,"Amistad Academy District",NA,"2011-2012","Pre Kindergarten","Number","Student Enrollment",0
954,"Amistad Academy District",NA,"2011-2012","Kindergarten","Number","Student Enrollment",96
954,"Amistad Academy District",NA,"2011-2012","1","Number","Student Enrollment",89
954,"Amistad Academy District",NA,"2011-2012","2","Number","Student Enrollment",86
954,"Amistad Academy District",NA,"2011-2012","3","Number","Student Enrollment",78
954,"Amistad Academy District",NA,"2011-2012","4","Number","Student Enrollment",76
954,"Amistad Academy District",NA,"2011-2012","5","Number","Student Enrollment",89
954,"Amistad Academy District",NA,"2011-2012","6","Number","Student Enrollment",87
